timestamp,smoothed_ear,smoothed_mar,blink_count,drowsy,yawn,head_tilt_deg,liveness_ok
2025-08-12T13:57:16.662689,0.219,0.013,6,0,0,6.37,1
2025-08-12T13:57:17.698148,0.314,0.007,6,0,0,6.30,0
2025-08-12T13:57:18.708989,0.291,0.022,7,0,0,5.06,1
2025-08-12T13:57:19.730188,0.280,0.017,7,0,0,6.67,1
2025-08-12T13:57:20.753298,0.280,0.031,7,0,0,7.58,1
2025-08-12T13:57:21.780016,0.316,0.014,7,0,0,0.22,1
2025-08-12T13:57:22.781671,0.352,0.014,7,0,0,5.68,0
2025-08-12T13:57:23.854685,0.327,0.011,7,0,0,4.71,1
2025-08-12T13:57:24.868731,0.166,0.034,7,0,0,13.90,1
2025-08-12T13:57:45.312380,0.364,0.002,0,0,0,7.21,0
2025-08-12T13:57:46.317728,0.296,0.003,0,0,0,3.85,0
2025-08-12T13:57:47.321683,0.313,0.003,0,0,0,4.09,0
2025-08-12T13:57:48.336634,0.225,0.006,1,0,0,10.68,1
2025-08-12T13:57:49.346912,0.268,0.011,2,0,0,9.86,1
2025-08-12T13:57:50.382019,0.298,0.008,2,0,0,7.01,1
2025-08-12T13:57:51.385527,0.305,0.007,2,0,0,3.71,1
2025-08-12T13:57:54.405771,0.333,0.047,2,0,0,17.64,1
2025-08-12T13:57:56.485031,0.324,0.035,2,0,0,5.26,1
2025-08-12T13:57:58.545845,0.325,0.026,2,0,0,5.99,1
2025-08-12T13:57:59.550672,0.356,0.008,2,0,0,5.32,1
2025-08-12T13:58:00.621601,0.053,0.004,3,0,0,7.72,1
2025-08-12T13:58:01.616891,0.063,0.001,3,1,0,7.88,1
2025-08-12T13:58:02.621676,0.072,0.003,3,1,0,8.64,1
2025-08-12T13:58:03.636313,0.044,0.002,3,1,0,10.19,1
2025-08-12T13:58:04.647469,0.058,0.002,3,0,0,10.26,0
2025-08-12T13:58:05.709117,0.245,0.004,3,0,0,9.94,1
