timestamp,ear,mar,blink_count,drowsy,yawn,liveness_ok
2025-08-12T13:18:31.737199,0.303,0.007,12,0,0,1
2025-08-12T13:18:32.747970,0.343,0.017,12,0,0,1
2025-08-12T13:18:33.773050,0.304,0.007,12,0,0,1
2025-08-12T13:18:34.813188,0.280,0.003,12,0,0,1
2025-08-12T13:18:35.818166,0.275,0.002,13,0,0,1
2025-08-12T13:18:36.824037,0.255,0.023,13,0,0,1
2025-08-12T13:18:37.835178,0.270,0.010,13,0,0,1
2025-08-12T13:18:38.869513,0.281,0.006,13,1,0,1
2025-08-12T13:18:39.894504,0.291,0.002,14,0,0,1
2025-08-12T13:18:40.903954,0.241,0.003,15,1,0,1
2025-08-12T13:18:41.914677,0.260,0.004,15,0,0,1
2025-08-12T13:18:42.919027,0.310,0.002,16,0,0,1
2025-08-12T13:18:43.929721,0.299,0.003,16,0,0,1
2025-08-12T13:18:44.930179,0.344,0.002,16,0,0,1
2025-08-12T13:18:45.960513,0.337,0.002,17,0,0,1
2025-08-12T13:18:46.967864,0.340,0.004,17,0,0,1
2025-08-12T13:18:48.003264,0.357,0.004,17,0,0,1
2025-08-12T13:18:49.018302,0.166,0.002,19,0,0,1
2025-08-12T13:18:50.050166,0.287,0.021,19,0,0,1
2025-08-12T13:18:51.064648,0.302,0.010,20,0,0,1
2025-08-12T13:18:52.073003,0.223,0.014,21,0,0,1
2025-08-12T13:18:53.099031,0.282,0.011,21,0,0,1
2025-08-12T13:18:54.103272,0.288,0.004,21,0,0,1
2025-08-12T13:18:55.113442,0.299,0.010,21,0,0,1
2025-08-12T13:18:56.121743,0.296,0.007,21,0,0,1
2025-08-12T13:18:57.131092,0.306,0.005,21,0,0,0
2025-08-12T13:18:58.170361,0.318,0.006,21,0,0,1
2025-08-12T13:18:59.191119,0.305,0.002,21,0,0,0
2025-08-12T13:19:00.194360,0.297,0.003,21,0,0,1
2025-08-12T13:19:01.213634,0.314,0.026,21,0,0,1
2025-08-12T13:19:02.214360,0.305,0.028,21,0,0,0
2025-08-12T13:19:03.224546,0.314,0.022,21,0,0,0
2025-08-12T13:19:04.234514,0.311,0.019,21,0,0,1
2025-08-12T13:19:05.257166,0.302,0.018,21,0,0,0
2025-08-12T13:19:06.260515,0.305,0.092,21,0,0,0
2025-08-12T13:19:07.266084,0.308,0.120,21,0,0,0
