timestamp,avg_ear,mar,blink_count,drowsy,yawn,head_tilt_deg,liveness_ok
2025-08-12T11:49:11.256515,0.266,0.426,4,0,0,2.73,1
2025-08-12T11:49:12.263770,0.240,0.867,4,0,0,2.78,1
2025-08-12T11:49:13.283468,0.267,0.341,4,0,0,3.61,1
2025-08-12T11:49:14.323907,0.267,0.123,4,0,0,10.68,1
2025-08-12T11:49:15.331989,0.185,0.076,4,0,0,2.10,1
2025-08-12T11:49:16.348112,0.254,0.448,4,0,0,7.40,1
2025-08-12T11:49:17.363944,0.306,0.002,4,0,0,1.59,0
2025-08-12T11:49:18.410680,0.315,0.003,4,0,0,8.97,0
2025-08-12T11:49:19.437943,0.321,0.002,4,0,0,7.18,0
2025-08-12T11:49:20.469831,0.314,0.002,6,0,0,1.69,1
2025-08-12T11:49:21.482214,0.261,0.020,7,0,0,0.51,1
2025-08-12T11:49:22.500293,0.316,0.019,7,0,0,3.40,1
2025-08-12T11:49:23.541788,0.327,0.041,8,0,0,6.04,1
2025-08-12T11:49:24.549972,0.346,0.031,8,0,0,4.97,1
2025-08-12T11:49:25.556774,0.354,0.012,8,0,0,3.18,1
2025-08-12T11:49:26.586670,0.334,0.003,8,0,0,1.92,1
2025-08-12T11:49:27.614753,0.330,0.006,8,0,0,1.89,1
2025-08-12T11:49:28.627162,0.347,0.005,8,0,0,0.91,0
2025-08-12T11:49:29.636651,0.326,0.006,8,0,0,0.71,1
2025-08-12T11:49:30.645678,0.332,0.008,8,0,0,0.27,0
2025-08-12T11:49:31.650840,0.340,0.029,8,0,0,0.15,0
2025-08-12T11:49:32.653721,0.285,0.029,8,0,0,0.92,1
2025-08-12T11:49:33.666589,0.331,0.043,8,0,0,4.88,1
2025-08-12T11:49:34.711313,0.310,0.020,8,0,0,3.29,1
2025-08-12T11:49:35.716341,0.227,0.012,9,0,0,3.81,1
2025-08-12T11:49:36.731398,0.321,0.018,9,0,0,4.42,1
2025-08-12T11:49:37.733482,0.321,0.072,9,0,0,4.79,1
2025-08-12T11:49:38.734345,0.340,0.004,9,0,0,4.88,1
2025-08-12T11:49:39.733544,0.343,0.003,9,0,0,10.47,0
2025-08-12T11:49:40.746611,0.292,0.006,10,0,0,22.94,1
2025-08-12T11:49:41.798980,0.489,0.013,10,0,0,31.15,1
2025-08-12T11:49:42.815484,0.624,0.014,10,0,0,44.66,1
2025-08-12T11:49:43.861898,0.357,0.013,11,0,0,28.92,1
2025-08-12T11:49:44.870510,0.268,0.008,11,0,0,8.54,1
2025-08-12T11:49:45.881173,0.338,0.007,11,0,0,15.14,1
2025-08-12T11:49:46.883356,0.339,0.005,11,0,0,1.83,0
2025-08-12T11:49:47.891132,0.264,0.003,11,0,0,9.37,1
2025-08-12T12:30:26.563796,0.269,0.005,0,0,0,0.48,0
2025-08-12T12:30:27.566248,0.316,0.011,0,0,0,0.64,0
2025-08-12T12:30:28.568364,0.317,0.008,0,0,0,0.76,0
2025-08-12T12:30:29.628837,0.308,0.057,1,0,0,7.95,1
2025-08-12T12:30:30.631320,0.295,0.047,1,0,0,4.22,1
2025-08-12T12:30:31.633857,0.318,0.055,1,0,0,4.21,1
2025-08-12T12:30:32.636152,0.316,0.071,1,0,0,3.80,1
2025-08-12T12:30:33.647495,0.331,0.006,1,0,0,5.51,0
