timestamp,ear,mar,blink_count,drowsy,yawn,liveness_ok
2025-08-12T13:04:03.850785,0.343,0.002,3,0,0,1
2025-08-12T13:04:04.851138,0.347,0.021,3,0,0,1
2025-08-12T13:04:05.876005,0.344,0.012,3,0,0,0
2025-08-12T13:04:06.919753,0.345,0.002,4,0,0,1
2025-08-12T13:04:07.932274,0.352,0.010,4,0,0,1
2025-08-12T13:04:08.934720,0.335,0.007,4,0,0,1
2025-08-12T13:04:09.948902,0.344,0.011,4,0,0,1
2025-08-12T13:04:10.951732,0.342,0.021,4,0,0,0
2025-08-12T13:04:12.008590,0.326,0.006,4,0,0,1
2025-08-12T13:04:13.026107,0.347,0.005,4,0,0,0
2025-08-12T13:04:14.026115,0.347,0.007,4,0,0,0
2025-08-12T13:04:15.044750,0.324,0.004,4,0,0,0
2025-08-12T13:04:16.072098,0.320,0.012,4,0,0,1
2025-08-12T13:04:17.076037,0.357,0.005,4,0,0,0
2025-08-12T13:04:18.087765,0.303,0.008,4,0,0,1
2025-08-12T13:04:19.101155,0.317,0.012,4,0,0,0
2025-08-12T13:04:20.104004,0.321,0.013,4,0,0,1
2025-08-12T13:04:21.109953,0.270,0.021,4,0,0,1
2025-08-12T13:04:22.170649,0.183,0.004,4,1,0,0
2025-08-12T13:04:23.180523,0.252,0.005,4,0,0,0
2025-08-12T13:04:24.233724,0.300,0.003,4,0,0,1
2025-08-12T13:04:25.232812,0.140,0.003,4,1,0,1
2025-08-12T13:04:26.243949,0.115,0.001,4,1,0,0
2025-08-12T13:04:27.265468,0.127,0.003,4,1,0,1
2025-08-12T13:04:28.290713,0.257,0.002,4,0,0,1
2025-08-12T13:04:29.356326,0.327,0.003,4,0,0,0
2025-08-12T13:04:30.359967,0.358,0.029,4,0,0,1
2025-08-12T13:04:31.367033,0.321,0.050,5,0,0,1
2025-08-12T13:04:32.410114,0.269,0.015,8,1,0,1
2025-08-12T13:04:33.433379,0.354,0.018,8,0,0,1
2025-08-12T13:04:34.433388,0.347,0.005,8,0,0,1
2025-08-12T13:04:35.448697,0.346,0.028,8,0,0,1
2025-08-12T13:04:36.458577,0.307,0.838,8,0,1,1
2025-08-12T13:04:37.465416,0.286,0.680,8,0,1,1
2025-08-12T13:04:38.506517,0.267,0.743,8,0,1,1
2025-08-12T13:04:39.544029,0.330,0.002,8,0,0,1
2025-08-12T13:04:40.570132,0.286,0.003,8,0,0,1
2025-08-12T13:04:41.576360,0.291,0.017,8,0,0,0
2025-08-12T13:04:42.583430,0.284,0.006,8,0,0,1
2025-08-12T13:04:43.594788,0.303,0.008,8,0,0,1
2025-08-12T13:04:44.604281,0.326,0.016,8,0,0,1
2025-08-12T13:04:45.645608,0.312,0.021,8,0,0,1
2025-08-12T13:04:46.675943,0.321,0.018,8,0,0,1
2025-08-12T13:04:47.679606,0.311,0.031,8,0,0,0
2025-08-12T13:04:48.682439,0.319,0.021,8,0,0,1
2025-08-12T13:04:49.687027,0.336,0.013,8,0,0,1
2025-08-12T13:04:50.698188,0.332,0.048,8,0,0,0
2025-08-12T13:04:51.703770,0.336,0.011,9,0,0,1
2025-08-12T13:04:52.743837,0.326,0.004,9,0,0,1
2025-08-12T13:04:53.771982,0.326,0.007,9,0,0,1
2025-08-12T13:04:54.777375,0.334,0.015,9,0,0,1
2025-08-12T13:04:55.786690,0.351,0.018,9,0,0,1
2025-08-12T13:04:56.793451,0.363,0.006,9,0,0,0
2025-08-12T13:04:57.803333,0.351,0.009,9,0,0,0
2025-08-12T13:04:58.812913,0.299,0.020,9,0,0,1
2025-08-12T13:04:59.836174,0.357,0.022,9,0,0,0
2025-08-12T13:05:00.841202,0.347,0.007,9,0,0,0
2025-08-12T13:05:01.849680,0.350,0.009,9,0,0,1
2025-08-12T13:05:02.860189,0.345,0.005,9,0,0,0
2025-08-12T13:05:03.866261,0.349,0.014,9,0,0,1
2025-08-12T13:05:04.881418,0.318,0.024,9,0,0,1
2025-08-12T13:05:05.898685,0.136,0.002,9,1,0,1
2025-08-12T13:05:06.907231,0.345,0.014,9,0,0,1
2025-08-12T13:05:07.920733,0.338,0.001,9,0,0,1
2025-08-12T13:05:08.943336,0.330,0.009,9,0,0,1
